Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Novak Djokovic,1,35.0,2188.0,,2054.5,2023.6,1976.7,,2121.2,2105.8,2082.3,,2016 Miami F,28.8,2470.2,2184.5
Carlos Alcaraz,2,19.2,2156.7,,2030.2,2017.1,1572.6,,2093.5,2086.9,1864.6,,2022 Roland Garros R16,19.0,2223.6,2156.5
Alexander Zverev,3,25.0,2133.9,,2015.6,2044.5,1671.4,,2074.8,2089.2,1902.7,,2022 Atp Cup RR,24.7,2162.3,2122.6
Rafael Nadal,4,36.0,2117.5,,1940.5,1978.8,1630.2,,2029.0,2048.2,1873.9,,2009 Madrid SF,22.9,2370.3,2241.4
Jannik Sinner,5,20.9,2101.3,,1970.1,1958.1,1543.4,,2035.7,2029.7,1822.4,,2022 Umag F,20.9,2101.3,2129.0
Matteo Berrettini,6,26.2,2054.8,,1817.4,1885.6,1954.1,,1936.1,1970.2,2004.4,,2022 Gstaad SF,26.2,2073.1,2049.2
Stefanos Tsitsipas,7,23.8,2047.0,,1902.5,2040.7,1672.8,,1974.7,2043.8,1859.9,,2021 Roland Garros SF,22.8,2135.1,2017.2
Casper Ruud,8,23.5,2022.3,,1880.5,1966.8,1426.7,,1951.4,1994.6,1724.5,,2022 Roland Garros SF,23.4,2064.5,2010.3
Daniil Medvedev,9,26.3,2015.1,,1961.6,1694.3,1735.2,,1988.3,1854.7,1875.2,,2022 Australian Open SF,25.9,2192.5,1965.3
Andrey Rublev,10,24.7,1981.5,,1928.8,1843.5,1612.1,,1955.1,1912.5,1796.8,,2021 Monte Carlo SF,23.4,2106.8,1930.0
Nick Kyrgios,11,27.1,1978.8,,1762.1,1534.2,1758.2,,1870.4,1756.5,1868.5,,2017 Cincinnati SF,22.2,2089.0,2058.2
Cameron Norrie,12,26.8,1978.8,,1867.9,1834.8,1660.9,,1923.3,1906.8,1819.8,,2022 Indian Wells R16,26.5,2000.2,1981.2
Hubert Hurkacz,13,25.3,1972.6,,1877.2,1743.6,1753.5,,1924.9,1858.1,1863.0,,2022 Halle F,25.3,1989.8,1992.3
Taylor Fritz,14,24.6,1950.0,,1886.0,1686.8,1663.7,,1918.0,1818.4,1806.8,,2022 Miami R32,24.3,1984.9,1957.0
Alex De Minaur,15,23.4,1921.7,,1829.6,1600.5,1652.0,,1875.7,1761.1,1786.9,,2020 Atp Cup RR,20.8,1993.5,1964.4
Felix Auger Aliassime,16,21.9,1919.9,,1882.2,1785.3,1687.9,,1901.0,1852.6,1803.9,,2022 Marseille SF,21.5,2033.0,1870.0
Roberto Bautista Agut,17,34.2,1910.9,,1805.1,1697.6,1753.4,,1858.0,1804.2,1832.2,,2016 Rotterdam R16,27.8,2014.7,1956.8
Grigor Dimitrov,18,31.0,1907.8,,1789.0,1792.5,1517.7,,1848.4,1850.2,1712.7,,2014 Canada QF,23.2,2090.5,1905.1
Kei Nishikori,19,31.7,1901.2,,1811.9,1805.5,1628.5,,1856.6,1853.4,1764.9,,2016 US Open QF,26.6,2210.6,
Karen Khachanov,20,26.1,1900.2,,1788.0,1802.6,1689.3,,1844.1,1851.4,1794.7,,2018 Paris F,22.4,2015.2,1912.3
Marin Cilic,21,33.7,1897.3,,1749.1,1782.2,1785.1,,1823.2,1839.7,1841.2,,2010 Dubai R16,21.4,2094.6,1925.2
Pablo Carreno Busta,22,31.0,1882.6,,1793.4,1822.0,1480.6,,1838.0,1852.3,1681.6,,2021 Winston-Salem R16,30.1,2002.2,1806.8
Diego Schwartzman,23,29.9,1881.8,,1804.6,1849.2,1461.5,,1843.2,1865.5,1671.6,,2020 Paris R16,28.2,1973.2,1792.1
Andy Murray,24,35.1,1877.8,,1744.5,1804.3,1695.0,,1811.2,1841.1,1786.4,,2017 Doha SF,29.6,2347.2,1906.0
Botic Van De Zandschulp,25,26.7,1875.7,,1732.0,1731.4,1584.3,,1803.8,1803.5,1730.0,,2022 Queen's Club QF,26.6,1902.6,1869.7
Jenson Brooksby,26,21.7,1874.8,,1901.8,1608.0,1542.1,,1888.3,1741.4,1708.5,,2022 Miami R32,21.3,1996.2,1843.5
Gael Monfils,27,35.6,1871.3,,1826.1,1538.6,1419.8,,1848.7,1704.9,1645.6,,2015 Monte Carlo QF,28.6,2067.9,1885.0
David Goffin,28,31.5,1870.4,,1668.9,1798.3,1722.0,,1769.6,1834.3,1796.2,,2017 Rome R32,26.4,2038.6,1939.6
Lorenzo Musetti,29,20.3,1869.0,,1575.7,1864.9,1310.1,,1722.3,1867.0,1589.6,,2022 Umag R32,20.3,1894.6,1926.9
Tommy Paul,30,25.1,1867.3,,1806.2,1590.9,1629.3,,1836.7,1729.1,1748.3,,2022 Miami R64,24.8,1908.0,1860.6
Ilya Ivashka,31,28.4,1865.0,,1781.1,1660.7,1611.6,,1823.0,1762.8,1738.3,,2021 Nur-Sultan QF,27.5,1912.9,1855.7
