Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Carlos Alcaraz,1,22.1,2246.4,,2,2128.9,1,2203.5,1,2126.6,,2259.0,2025-06,,2,-0.69,2289.9
Jannik Sinner,2,23.8,2241.4,,1,2194.1,2,2128.0,2,2049.1,,2329.6,2025-01,,1,0.69,2224.5
Novak Djokovic,3,38.1,2164.7,,3,2116.3,3,2084.8,3,2037.6,,2463.2,2016-05,,7,-0.85,2089.6
Jack Draper,4,23.5,2055.8,,5,2013.8,7,1940.9,6,1877.8,,2103.8,2025-04,,5,-0.22,2030.4
Alexander Zverev,5,28.2,2052.9,,4,2018.3,4,1999.1,5,1881.4,,2176.5,2022-01,,3,0.51,2007.4
Taylor Fritz,6,27.7,2042.3,,6,1982.8,11,1903.6,4,1945.3,,2054.0,2025-01,,4,0.41,2062.2
Alex De Minaur,7,26.4,2004.3,,8,1954.7,13,1899.3,12,1838.1,,2053.1,2024-06,,8,-0.13,2020.5
Ben Shelton,8,22.8,2000.6,,7,1958.6,18,1866.6,14,1815.9,,2000.6,2025-07,,6,0.29,2050.9
Lorenzo Musetti,9,23.4,1991.7,,24,1852.4,5,1990.3,7,1861.9,,2050.5,2025-05,,10,-0.11,1993.5
Tommy Paul,10,28.1,1989.9,,11,1925.3,8,1933.0,9,1847.4,,2028.8,2025-05,,16,-0.47,1971.5
Grigor Dimitrov,11,34.1,1972.3,,9,1934.2,16,1873.9,13,1820.4,,2111.5,2014-08,,21,-0.65,1891.0
Casper Ruud,12,26.5,1971.8,,13,1891.1,6,1958.0,40,1709.1,,2071.9,2022-05,,13,-0.08,1986.3
Daniil Medvedev,13,29.4,1958.4,,10,1929.0,14,1893.9,8,1858.3,,2201.2,2022-01,,15,-0.14,1864.7
Karen Khachanov,14,29.1,1942.4,,14,1885.1,17,1867.2,17,1799.3,,2029.5,2018-10,,12,0.15,1992.8
Alexander Bublik,15,28.0,1938.3,,35,1804.1,15,1893.1,11,1838.2,,1938.3,2025-07,,27,-0.59,2083.4
Jiri Lehecka,16,23.7,1938.2,,16,1876.4,27,1805.9,16,1801.5,,1966.5,2025-02,,26,-0.49,1954.3
Matteo Berrettini,17,29.2,1936.4,,20,1865.0,9,1925.2,10,1844.0,,2065.7,2022-07,,59,-1.24,1882.6
Holger Rune,18,22.2,1930.6,,12,1892.6,12,1900.3,20,1775.2,,2082.0,2023-05,,9,0.69,1884.8
Alejandro Davidovich Fokina,19,26.1,1922.1,,18,1869.8,23,1830.3,28,1738.8,,1934.8,2025-07,,18,0.05,1952.1
Tallon Griekspoor,20,29.0,1905.1,,25,1852.3,26,1814.3,15,1809.7,,1951.8,2025-06,,32,-0.47,1885.9
Stefanos Tsitsipas,21,26.9,1902.4,,22,1856.8,10,1922.6,32,1725.2,,2145.1,2021-05,,29,-0.32,1779.1
Andrey Rublev,22,27.7,1894.6,,23,1855.7,19,1855.5,18,1796.8,,2122.1,2021-04,,11,0.69,1872.0
Francisco Cerundolo,23,26.9,1885.5,,26,1850.3,20,1851.1,53,1665.0,,1961.6,2025-04,,23,0,1854.3
Flavio Cobolli,24,23.2,1884.5,,41,1782.7,22,1834.0,22,1754.5,,1895.6,2025-07,,22,0.09,1916.8
Sebastian Korda,25,24.8,1877.7,,28,1839.7,40,1762.0,21,1771.0,,2020.7,2023-01,,45,-0.59,1802.4
Jakub Mensik,26,19.9,1877.1,,17,1871.4,38,1769.0,43,1699.8,,1968.7,2025-04,,17,0.42,1862.4
Gabriel Diallo,27,23.8,1873.5,,42,1782.5,39,1762.8,26,1742.0,,1890.0,2025-06,,35,-0.26,1902.5
Tomas Machac,28,24.7,1872.7,,19,1867.1,43,1746.4,39,1709.2,,1972.7,2025-04,,24,0.15,1772.8
Arthur Fils,29,21.1,1872.7,,38,1795.6,21,1842.4,34,1722.4,,1985.4,2025-04,,20,0.37,1987.0
Thanasi Kokkinakis,30,28.7,1872.6,,31,1822.4,36,1771.4,68,1643.4,,1890.3,2015-06,,178,-1.78,1739.8
Gael Monfils,31,38.9,1871.0,,27,1848.5,56,1724.4,48,1685.6,,2087.1,2016-10,,46,-0.39,1739.6
Joao Fonseca,32,18.9,1869.5,,21,1860.8,33,1779.1,51,1675.9,,1992.5,2025-03,,52,-0.49,1844.7
Ugo Humbert,33,27.0,1865.2,,15,1880.7,52,1730.4,37,1718.7,,2017.7,2024-03,,25,0.28,1752.6
Jordan Thompson,34,31.1,1859.3,,30,1825.3,105,1648.1,23,1752.1,,1891.2,2024-12,,50,-0.39,1804.6
Frances Tiafoe,35,27.5,1855.1,,32,1814.2,30,1792.6,31,1728.4,,1974.0,2023-06,,14,0.92,1849.5
Brandon Nakashima,36,23.9,1845.6,,34,1807.1,47,1736.3,25,1745.1,,1909.5,2024-09,,31,0.15,1857.2
Felix Auger Aliassime,37,24.9,1841.6,,33,1813.8,31,1791.8,35,1722.1,,2062.7,2022-10,,28,0.28,1775.0
Hubert Hurkacz,38,28.3,1840.8,,43,1772.9,34,1776.1,24,1747.3,,2022.5,2024-06,,40,-0.05,1920.5
Corentin Moutet,39,26.2,1839.2,,45,1762.3,42,1747.0,29,1735.9,,1848.0,2025-07,,44,-0.12,1892.7
Alexei Popyrin,40,25.9,1838.7,,40,1790.3,29,1793.4,55,1663.5,,1902.2,2024-10,,19,0.74,1806.7
Matteo Arnaldi,41,24.4,1837.9,,36,1802.6,28,1796.6,84,1620.2,,1902.9,2024-06,,37,0.10,1825.8
Denis Shapovalov,42,26.2,1837.8,,29,1835.7,49,1734.2,54,1664.4,,1983.2,2020-01,,30,0.34,1773.5
Cameron Norrie,43,29.9,1837.1,,46,1761.7,25,1819.3,27,1739.3,,2028.6,2022-08,,39,0.10,1875.8
Alex Michelsen,44,20.9,1831.9,,37,1796.7,94,1665.8,38,1713.6,,1904.8,2025-01,,33,0.29,1817.0
Luciano Darderi,45,23.4,1830.9,,164,1562.1,24,1822.4,86,1616.6,,1857.0,2024-06,,34,0.28,1903.2
Marin Cilic,46,36.7,1810.4,,51,1752.4,48,1734.2,19,1776.1,,2100.4,2010-02,,62,-0.30,1841.8
Marcos Giron,47,32.0,1807.8,,44,1767.6,89,1675.6,36,1720.7,,1874.1,2025-03,,61,-0.26,1738.8
Fabian Marozsan,48,25.8,1807.3,,53,1745.4,45,1743.7,97,1604.8,,1867.2,2024-04,,51,-0.06,1806.6
