Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Iga Swiatek,1,22.7,2250.6,,2149.8,2098.3,1697.1,,2200.2,2174.4,1973.8,,2022 Wimbledon R64,21.0,2264.6,2065.6
Aryna Sabalenka,2,25.6,2141.4,,2049.9,1921.2,1739.6,,2095.7,2031.3,1940.5,,2024 Australian Open F,25.6,2141.4,2098.5
Cori Gauff,3,19.9,2116.3,,2029.7,1845.9,1643.4,,2073.0,1981.1,1879.9,,2024 Australian Open QF,19.8,2155.0,1899.3
Elena Rybakina,4,24.6,2096.1,,2021.0,1778.0,1773.9,,2058.5,1937.0,1935.0,,2024 Doha SF,24.6,2103.7,2057.9
Jessica Pegula,5,29.8,2066.3,,1984.4,1740.3,1587.1,,2025.3,1903.3,1826.7,,2024 United Cup RR,29.8,2093.1,1722.2
Qinwen Zheng,6,21.3,2020.4,,1943.7,1821.6,1336.6,,1982.1,1921.0,1678.5,,2024 Australian Open SF,21.2,2050.7,1896.4
Jelena Ostapenko,7,26.6,1993.4,,1891.4,1695.0,1786.3,,1942.4,1844.2,1889.8,,2022 Doha QF,24.7,2035.3,1997.4
Ons Jabeur,8,29.4,1976.8,,1821.3,1891.1,1808.3,,1899.1,1934.0,1892.6,,2022 Wimbledon SF,27.8,2106.9,
Marketa Vondrousova,9,24.6,1940.4,,1785.8,1681.2,1669.5,,1863.1,1810.8,1805.0,,2019 Roland Garros SF,19.9,2060.3,
Daria Kasatkina,10,26.7,1930.2,,1825.8,1780.8,1617.9,,1878.0,1855.5,1774.0,,2018 Indian Wells SF,20.8,2047.4,1857.6
Mirra Andreeva,11,16.7,1926.9,,1797.5,1726.6,1561.1,,1862.2,1826.8,1744.0,,2024 Australian Open R32,16.7,1952.9,1819.0
Leylah Fernandez,12,21.4,1919.3,,1844.7,1526.8,1418.7,,1882.0,1723.0,1669.0,,2022 Indian Wells R32,19.4,1974.5,1787.0
Barbora Krejcikova,13,28.1,1918.8,,1849.8,1646.4,1608.3,,1884.3,1782.6,1763.5,,2021 Us Open R16,25.7,2049.0,1743.3
Liudmila Samsonova,14,25.2,1917.0,,1840.0,1550.1,1541.2,,1878.5,1733.5,1729.1,,2023 Zhengzhou R32,24.9,1989.1,1678.9
Danielle Collins,15,30.1,1916.8,,1850.8,1610.1,1428.9,,1883.8,1763.4,1672.8,,2022 Australian Open SF,28.0,2048.5,1869.9
Victoria Azarenka,16,34.5,1912.2,,1849.0,1593.1,1509.3,,1880.6,1752.6,1710.8,,2013 Indian Wells R16,23.5,2328.4,1960.9
