Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,WTA Rank,Log diff,yElo
Aryna Sabalenka,1,26.4,2183.9,,1,2131.8,2,2075.5,1,1970.5,,2183.9,2024-10,,2,-0.69,2238.2
Iga Swiatek,2,23.2,2133.5,,2,2075.3,1,2085.4,2,1861.8,,2290.5,2024-07,,1,0.69,2190.7
Qinwen Zheng,3,21.9,2062.4,,4,2004.8,3,2005.2,36,1699.9,,2073.0,2024-10,,7,-0.85,2082.4
Coco Gauff,4,20.5,2061.2,,3,2026.3,4,1970.9,3,1852.4,,2155.0,2024-01,,3,0.29,2047.3
Jessica Pegula,5,30.6,2014.8,,5,1975.1,11,1833.0,7,1809.6,,2092.9,2024-01,,4,0.22,2056.1
Elena Rybakina,6,25.1,2007.8,,6,1960.5,6,1899.7,4,1852.0,,2152.0,2024-04,,5,0.18,2092.1
Paula Badosa,7,26.8,1998.6,,8,1943.1,8,1888.3,8,1806.0,,2084.4,2022-01,,14,-0.69,2042.6
Karolina Muchova,8,28.0,1976.0,,7,1943.5,15,1826.5,28,1732.6,,2025.5,2023-08,,29,-1.29,2050.3
Danielle Collins,9,30.7,1975.2,,9,1917.7,5,1913.3,21,1754.1,,2069.4,2024-05,,9,0,1942.7
Jasmine Paolini,10,28.7,1950.0,,11,1882.4,10,1866.1,17,1764.3,,1980.0,2024-07,,6,0.51,1963.0
Mirra Andreeva,11,17.4,1943.3,,14,1870.2,7,1889.5,38,1692.4,,1994.8,2024-05,,19,-0.55,1938.8
Madison Keys,12,29.6,1941.9,,18,1849.0,9,1868.5,9,1795.8,,2091.6,2016-08,,20,-0.51,1990.6
Emma Navarro,13,23.3,1925.9,,10,1882.6,13,1828.5,14,1767.9,,1992.8,2024-08,,8,0.49,1915.6
Marketa Vondrousova,14,25.0,1917.0,,19,1848.2,14,1826.6,19,1761.2,,2060.3,2019-05,,31,-0.79,1878.7
Diana Shnaider,15,20.5,1913.6,,21,1845.5,18,1811.8,11,1787.9,,1971.6,2024-08,,16,-0.06,1919.6
Beatriz Haddad Maia,16,28.3,1911.0,,13,1870.5,17,1812.0,16,1765.0,,1932.0,2023-08,,10,0.47,1946.5
Marta Kostyuk,17,22.2,1907.7,,12,1873.7,23,1789.8,39,1691.3,,1989.5,2024-04,,17,0,1897.1
Elina Svitolina,18,29.9,1899.7,,20,1846.2,19,1810.6,23,1750.4,,2114.0,2018-05,,25,-0.33,1925.4
Anna Kalinskaya,19,25.8,1899.6,,15,1866.3,47,1732.7,25,1744.5,,1959.4,2024-02,,12,0.46,1881.6
Yulia Putintseva,20,29.7,1899.5,,25,1826.9,16,1817.2,13,1770.2,,1920.0,2024-08,,32,-0.47,1954.0
Emma Raducanu,21,21.8,1895.7,,27,1824.9,51,1728.2,22,1751.9,,2005.1,2021-08,,54,-0.94,1894.8
Daria Kasatkina,22,27.4,1892.5,,29,1821.4,12,1830.4,10,1792.5,,2047.4,2018-03,,11,0.69,1851.6
Liudmila Samsonova,23,25.9,1889.3,,24,1831.0,31,1756.6,15,1766.1,,1989.0,2023-10,,23,0,1861.7
Amanda Anisimova,24,23.1,1888.8,,16,1862.6,43,1736.5,42,1687.9,,2010.1,2022-08,,38,-0.46,1950.7
Donna Vekic,25,28.2,1888.4,,30,1814.2,21,1793.6,12,1775.9,,1950.9,2019-08,,18,0.33,1923.7
Barbora Krejcikova,26,28.8,1881.2,,26,1826.3,45,1735.9,5,1829.2,,2049.0,2021-08,,13,0.69,1830.6
Jelena Ostapenko,27,27.2,1879.9,,22,1838.3,20,1794.5,6,1817.6,,2035.3,2022-02,,15,0.59,1770.9
Leylah Fernandez,28,22.0,1864.8,,28,1822.8,42,1737.1,26,1735.7,,1974.5,2022-03,,34,-0.19,1845.5
Anastasia Pavlyuchenkova,29,33.1,1858.2,,23,1836.2,29,1762.8,57,1650.4,,2063.5,2011-05,,30,-0.03,1848.5
Linda Noskova,30,19.7,1853.1,,17,1853.6,61,1706.7,64,1632.8,,1932.9,2024-04,,26,0.14,1842.0
Naomi Osaka,31,26.9,1849.3,,31,1807.0,55,1715.1,51,1663.9,,2200.2,2021-03,,57,-0.61,1887.9
Anastasia Potapova,32,23.5,1842.9,,37,1791.1,24,1777.5,31,1713.0,,1915.9,2023-06,,37,-0.15,1825.6
Elise Mertens,33,28.8,1840.2,,38,1788.8,22,1792.0,40,1689.8,,2045.8,2021-04,,27,0.20,1817.9
Victoria Azarenka,34,35.0,1836.5,,32,1802.7,62,1706.2,49,1668.2,,2331.4,2013-03,,21,0.48,1958.1
Magda Linette,35,32.6,1830.8,,53,1750.0,26,1768.4,54,1653.9,,1859.4,2023-02,,40,-0.13,1889.2
Eva Lys,36,22.6,1829.1,,41,1782.3,54,1724.6,58,1648.7,,1829.1,2024-09,,118,-1.19,1876.6
Magdalena Frech,37,26.8,1828.6,,36,1800.2,60,1708.8,55,1652.9,,1831.3,2024-10,,24,0.43,1898.7
Ekaterina Alexandrova,38,29.8,1827.5,,34,1801.7,73,1681.9,20,1754.5,,1975.0,2020-02,,28,0.31,1789.5
