rank,player,country,birthdate,player_url
1,Aryna Sabalenka,BLR,1998-05-05,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ArynaSabalenka
2,Coco Gauff,USA,2004-03-13,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CocoGauff
3,Iga Swiatek,POL,2001-05-31,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=IgaSwiatek
4,Jessica Pegula,USA,1994-02-24,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JessicaPegula
5,Mirra Andreeva,RUS,2007-04-29,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MirraAndreeva
6,Qinwen Zheng,CHN,2002-10-08,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=QinwenZheng
7,Amanda Anisimova,USA,2001-08-31,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AmandaAnisimova
8,Madison Keys,USA,1995-02-17,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MadisonKeys
9,Jasmine Paolini,ITA,1996-01-04,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JasminePaolini
10,Paula Badosa,ESP,1997-11-15,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PaulaBadosa
11,Emma Navarro,USA,2001-05-18,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EmmaNavarro
12,Elena Rybakina,KAZ,1999-06-17,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElenaRybakina
13,Elina Svitolina,UKR,1994-09-12,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElinaSvitolina
14,Karolina Muchova,CZE,1996-08-21,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KarolinaMuchova
15,Ekaterina Alexandrova,RUS,1994-11-15,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EkaterinaAlexandrova
16,Liudmila Samsonova,RUS,1998-11-11,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LiudmilaSamsonova
17,Diana Shnaider,RUS,2004-04-02,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DianaShnaider
18,Daria Kasatkina,AUS,1997-05-07,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DariaKasatkina
19,Clara Tauson,DEN,2002-12-21,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ClaraTauson
20,Belinda Bencic,SUI,1997-03-10,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=BelindaBencic
21,Beatriz Haddad Maia,BRA,1996-05-30,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=BeatrizHaddadMaia
22,Elise Mertens,BEL,1995-11-17,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EliseMertens
23,Linda Noskova,CZE,2004-11-17,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LindaNoskova
24,Leylah Fernandez,CAN,2002-09-06,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LeylahFernandez
25,Magdalena Frech,POL,1997-12-15,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MagdalenaFrech
26,Jelena Ostapenko,LAT,1997-06-08,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JelenaOstapenko
27,Sofia Kenin,USA,1998-11-14,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SofiaKenin
28,Marta Kostyuk,UKR,2002-06-28,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MartaKostyuk
29,Ashlyn Krueger,USA,2004-05-07,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AshlynKrueger
30,Anastasia Pavlyuchenkova,RUS,1991-07-03,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnastasiaPavlyuchenkova
31,Anna Kalinskaya,RUS,1998-12-02,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnaKalinskaya
32,Mccartney Kessler,USA,1999-07-08,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MccartneyKessler
33,Emma Raducanu,GBR,2002-11-13,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EmmaRaducanu
34,Magda Linette,POL,1992-02-12,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MagdaLinette
35,Dayana Yastremska,UKR,2000-05-15,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DayanaYastremska
36,Rebecca Sramkova,SVK,1996-10-19,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=RebeccaSramkova
37,Peyton Stearns,USA,2001-10-08,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PeytonStearns
38,Xin Yu Wang,CHN,2001-09-26,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=XinYuWang
39,Marie Bouzkova,CZE,1998-07-21,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MarieBouzkova
40,Olga Danilovic,SRB,2001-01-23,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=OlgaDanilovic
41,Tatjana Maria,GER,1987-08-08,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=TatjanaMaria
42,Veronika Kudermetova,RUS,1997-04-24,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=VeronikaKudermetova
43,Katie Boulter,GBR,1996-08-01,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KatieBoulter
44,Anastasia Potapova,RUS,2001-03-30,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnastasiaPotapova
45,Maya Joint,AUS,2006-04-16,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MayaJoint
46,Yulia Putintseva,KAZ,1995-01-07,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=YuliaPutintseva
47,Lois Boisson,FRA,2003-05-16,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LoisBoisson
48,Sonay Kartal,GBR,2001-10-28,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SonayKartal
49,Naomi Osaka,JPN,1997-10-16,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=NaomiOsaka
50,Hailey Baptiste,USA,2001-11-03,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=HaileyBaptiste
51,Jessica Bouzas Maneiro,ESP,2002-09-24,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JessicaBouzasManeiro
52,Jaqueline Cristian,ROU,1998-06-05,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JaquelineCristian
53,Donna Vekic,CRO,1996-06-28,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DonnaVekic
54,Laura Siegemund,GER,1988-03-04,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LauraSiegemund
55,Caroline Dolehide,USA,1998-09-05,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CarolineDolehide
56,Polina Kudermetova,RUS,2003-06-04,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PolinaKudermetova
57,Camila Osorio,COL,2001-12-22,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CamilaOsorio
58,Elena Gabriela Ruse,ROU,1997-11-06,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElenaGabrielaRuse
59,Ann Li,USA,2000-06-26,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnLi
60,Anna Bondar,HUN,1997-05-27,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnaBondar
61,Danielle Collins,USA,1993-12-13,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DanielleCollins
62,Kamilla Rakhimova,RUS,2001-08-28,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KamillaRakhimova
63,Marketa Vondrousova,CZE,1999-06-28,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MarketaVondrousova
64,Suzan Lamens,NED,1999-07-05,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SuzanLamens
65,Alexandra Eala,PHI,2005-05-23,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AlexandraEala
66,Lucia Bronzetti,ITA,1998-12-10,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LuciaBronzetti
67,Elina Avanesyan,ARM,2002-09-17,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElinaAvanesyan
